,State,County,FIPS Code,Avg Temperature (C),Max Temperature (C),Min Temperature (C),Heat_Stress_Day,Cold_Stress_Day,Precipitation (mm),Vapor Pressure Deficit (kPa),Drought_Stress_Day,Wet_Day,Heavy_Rain_Day,Solar Radiation (MJ m**-2 day**-1),Low_Light_Day,Relative Humidity (%),Wind Speed (m s**-1),Year,"PRODUCTION, MEASURED IN 480 LB BALES",harvested_area
0,ARKANSAS,ASHLEY,05003,18.603198630136987,35.7955,-8.312,3.7,108.8,1844.63675,0.683657397260274,0.0,113.0,23.2,122775.89929920001,11.2,73.30917808219178,5.0775728767123285,2017,55700.0,49.16151809355693
1,ARKANSAS,CHICOT,05017,18.66969315068493,35.024,-8.272,1.2,100.93333333333334,1869.6808666666668,0.6410575342465753,0.0,112.33333333333333,25.666666666666668,127958.4117792,9.2,74.42241095890411,5.543903744292237,2017,34400.0,34.57286432160804
2,ARKANSAS,CLAY,05021,16.135537671232875,35.58625,-11.329375,3.375,149.125,1388.5965625,0.6163301369863013,0.0,104.3125,13.9375,130721.4042192,7.6875,72.69482876712328,4.815941095890411,2017,85400.0,63.73134328358209
3,ARKANSAS,CRAIGHEAD,05031,16.50629109589041,35.524375,-13.3525,2.3125,141.375,1640.139375,0.6062046232876712,0.0,103.4375,18.3125,127721.68531920001,11.5,73.54979452054795,5.196780821917808,2017,163000.0,138.72340425531914
4,ARKANSAS,CRITTENDEN,05035,17.549454545454545,34.651818181818186,-13.142272727272728,0.6363636363636364,126.04545454545455,1664.0784545454546,0.6700692403486924,0.0,110.95454545454545,19.59090909090909,127458.8586301091,11.181818181818182,71.80613947696139,5.111983437110834,2017,46400.0,40.63047285464098
5,ARKANSAS,DESHA,05041,18.31058904109589,35.169666666666664,-9.128666666666668,2.7666666666666666,113.76666666666667,1682.9831333333334,0.6646026484018265,0.0,113.23333333333333,20.766666666666666,125195.1566112,9.5,73.1715890410959,5.489270684931507,2017,40100.0,35.61278863232682
6,ARKANSAS,DREW,05043,18.332315068493152,35.597,-8.496500000000001,3.1,117.3,1674.4731,0.6942613698630138,0.0,109.9,19.6,124914.3053472,10.95,72.17306849315068,4.902166849315068,2017,18600.0,16.460176991150444
7,ARKANSAS,JEFFERSON,05069,17.776995107632093,35.60357142857143,-11.829642857142858,3.428571428571429,129.28571428571428,1674.127392857143,0.6940039138943248,0.0,98.82142857142857,20.535714285714285,128384.22883062858,5.892857142857142,71.77657534246576,5.07401457925636,2017,11600.0,11.25121241513094
8,ARKANSAS,LEE,05077,17.37400195694716,35.66428571428572,-13.952857142857143,5.142857142857142,132.42857142857142,1581.3546428571428,0.6628477495107632,0.0,105.42857142857143,16.642857142857142,132428.74551634287,6.642857142857142,72.69297455968689,5.409999412915852,2017,108400.0,88.77968877968878
9,ARKANSAS,LINCOLN,05079,17.963514677103717,34.83214285714286,-12.094285714285714,0.9999999999999999,125.57142857142857,1779.6664285714285,0.6719982387475538,0.0,103.5,19.785714285714285,127787.72261348572,7.357142857142858,72.48076320939334,5.143745009784736,2017,42300.0,38.52459016393443
10,ARKANSAS,MISSISSIPPI,05093,17.06313035793195,34.81,-14.970967741935485,0.4838709677419355,132.61290322580646,1592.071193548387,0.6418242156429518,0.0,112.3225806451613,18.516129032258064,121588.1800992,14.741935483870968,72.46866106937694,5.030343879805567,2017,238000.0,193.1818181818182
11,ARKANSAS,PHILLIPS,05107,17.65559817351598,35.562380952380956,-13.038571428571428,4.285714285714286,126.52380952380952,1605.4937142857143,0.6501630789302022,0.0,109.52380952380952,18.523809523809526,130841.4604649143,5.285714285714286,73.45208088714938,5.497604174820613,2017,59900.0,57.10200190657769
12,ARKANSAS,POINSETT,05111,16.91381506849315,35.52625,-15.513125,3.375,137.1875,1494.5609375,0.6579796232876712,0.0,104.875,18.25,128116.4166792,11.0,72.13917808219178,5.39285051369863,2017,54200.0,42.71079590228526
13,ARKANSAS,ST. FRANCIS,05123,17.238544292237442,35.63333333333333,-13.4,4.0,135.8,1643.9968,0.6749121461187214,0.0,106.66666666666667,19.733333333333334,130595.5027872,7.4,71.97543378995434,5.378296073059361,2017,62800.0,55.62444641275465
14,CALIFORNIA,FRESNO,06019,13.847216965226552,37.512269230769235,-4.800653846153846,44.465384615384615,209.68076923076924,747.1501346153847,1.0859386828240252,40.41538461538462,50.67307692307692,8.95,165754.76932910772,4.580769230769231,52.5831612223393,3.1726399157007377,2017,17000.0,12.292118582791034
15,CALIFORNIA,KINGS,06031,17.96719580983078,42.20470588235294,-4.504313725490196,84.11764705882352,168.35294117647058,244.54790196078432,1.304865914585012,57.1764705882353,37.294117647058826,0.3137254901960784,165131.5622789647,1.5098039215686274,56.54783239323126,3.3394631211388663,2017,60500.0,60.43956043956044
16,CALIFORNIA,MERCED,06047,17.109834964122633,40.97892857142857,-1.9647619047619047,56.714285714285715,168.35714285714286,437.5050357142857,1.1470481735159817,34.57142857142857,48.035714285714285,2.3333333333333335,162734.1763289143,5.214285714285714,58.559096542726685,3.867429941291585,2017,53800.0,42.90271132376395
17,CALIFORNIA,TULARE,06107,13.202325136161084,35.97753012048193,-5.502650602409639,36.0,219.4156626506024,513.7168493975904,1.0423662485558673,30.337349397590362,44.72289156626506,5.457831325301205,173522.81421698316,2.6686746987951806,50.33238488199373,2.7614286185839245,2017,44000.0,32.909498878085266
18,KANSAS,PRATT,20151,13.709532420091325,39.48666666666667,-15.910666666666666,20.266666666666666,195.93333333333334,849.4598666666667,0.7894471232876712,3.8666666666666667,60.8,11.466666666666667,136386.69203520002,4.8,63.59764383561644,4.744771689497717,2017,48000.0,42.93381037567084
19,KANSAS,SUMNER,20191,15.144909980430528,40.98892857142857,-14.344285714285714,25.821428571428573,179.64285714285714,963.4118928571429,0.7740994129158513,3.7142857142857144,75.57142857142857,12.25,135156.4684992,4.392857142857143,66.58638943248533,4.223260176125245,2017,35600.0,29.991575400168493
20,TEXAS,ARMSTRONG,48011,15.568472602739726,39.265499999999996,-14.267,22.55,183.35,743.24465,1.0187513698630137,6.4,63.7,7.3,159098.6459232,4.05,56.086780821917806,4.312379589041096,2017,28200.0,39.77433004231312
21,TEXAS,AUSTIN,48015,21.462980593607305,37.9025,-6.392499999999999,21.75,66.45833333333333,1781.5931666666668,0.7378562785388127,0.0,107.33333333333333,18.125,130645.63429920001,10.125,75.67204337899544,4.768161073059361,2017,5840.0,5.209634255129349
